,folder,art_movement,jpeg,image_name,scrape_state
23,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/paul_gauguin/der-geist-wacht_gauguin.jpg,paul_gauguin-tahitian_woman_with_evil_spirit_lesprit_veille,saved
24,train,Romanticismo,https://www.copia-di-arte.com/kunst/carl_blechen/tiberius_felsen_auf_capri.jpg,karl_eduard_ferdinand_blechen-rock_of_tiberius_capri,saved
25,train,Barocco,https://www.copia-di-arte.com/kunst/georges_de_la_tour_471//Das-Neugeborene.jpg,georges_de_la_tour-the_newborn_child_birth_christi,saved
26,test,Impressionismo,https://www.copia-di-arte.com/kunst/paul_cezanne//Estaque.jpg,paul_cezanne-landscape_with_red_roof_or_the_pine_at_the_esta,saved
27,train,Rinascimento,https://www.copia-di-arte.com/kunst/albrecht_duerer/portraet_eines_architekten_hie.jpg,albrecht_duerer-portrait_of_an_architect_hieronymus_von_augs,saved
28,train,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/william_ireland/afternoon-tea.jpg,william_ireland-afternoon_tea,saved
29,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/henri_fantin_latour/victoria_dubourg_1840_1926_hi.jpg,henri_fantinlatour-victoria_dubourg,saved
30,train,Barocco,https://www.copia-di-arte.com/kunst/rembrandt_hamerszoon_van_rijn/der-auferstandene-christus.jpg,rembrandt_van_rijn-christ_risen_from_the_dead,saved
31,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/henri_de_toulouse_lautrec_736//Napoleon-Riding.jpg,henri_de_toulouselautrec-napoleon_riding,saved
32,train,Espressionismo,https://www.copia-di-arte.com/kunst/wassily_kandinsky/fusing-pink.jpg,wassily_kandinsky-fusing_pink,saved
33,test,Rinascimento,https://www.copia-di-arte.com/kunst/lucas_cranach_d_ae/lucas_cranach_d_ae_das_goldene_zeitalter-1.jpg,lucas_cranach_il_vecchio-the_golden_age_10,saved
34,validation,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/hilary_jones/shall_i.jpg,hilary_jones-shall_i,saved
35,train,Romanticismo,https://www.copia-di-arte.com/kunst/joseph_mallord_william_turner_746/cockermouth_castle_hi.jpg,william_turner-cockermouth_castle,saved
36,train,Espressionismo,https://www.copia-di-arte.com/kunst/wassily_kandinsky/studie_abendmahl_hi.jpg,wassily_kandinsky-study_for_a_holy_communion,saved
37,train,Rinascimento,https://www.copia-di-arte.com/kunst/michelangelo_caravaggio/preparatory_sketch_battle_cas_hi.jpg,michelangelo_buonarroti-preparatory_sketch_for_the_battle_of,saved
38,train,Impressionismo,https://www.copia-di-arte.com/kunst/camille_pissarro_59/meadow_eragny_hi.jpg,camille_pissarro-meadow_at_eragny,saved
39,validation,Barocco,https://www.copia-di-arte.com/kunst/rachel_ruysch/still-life-of-roses-lilies-tulips-and-other-flowers_ruysch.jpg,rachel_ruysch-still_life_of_roses_lilies_tulips_and_other_fl,saved
40,train,Rinascimento,https://www.copia-di-arte.com/kunst/albrecht_duerer/hercules_am_scheidewege.jpg,albrecht_duerer-hercules_am_scheidewege,saved
41,train,Barocco,https://www.copia-di-arte.com/kunst/noartist/r/renithe_massacre_othe_innocent.jpg,guido_reni-renithe_massacre_othe_innocents_11,saved
42,train,Barocco,https://www.copia-di-arte.com/kunst/diego_rodriguez_de_silva_y_vel/sibyl.jpg,diego_rodriguez_de_silva_y_velazquez-dvelazquez_sibyl,saved
43,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/pierre_auguste_renoir/xir72601.jpg,pierreauguste_renoir-la_ragazza_porta_i_fiori,saved
44,train,Classicismo,https://www.copia-di-arte.com/kunst/jean_auguste_dominique_ingres_30/pope_pius.jpg,jean_auguste_dominique_ingres-pope_pius_vii_luigi_barnaba_ch,saved
45,validation,Rinascimento,https://www.copia-di-arte.com/kunst/raffael_eigntl_rafaello_santi/mass_bolsena_stanza_delleliod_hi.jpg,raffaello_raffaello_sanzio-the_mass_of_bolsena_from_the_stan_13,saved
46,test,Romanticismo,https://www.copia-di-arte.com/kunst/david_roberts/horustempel-innenansicht.jpg,david_roberts-edfu_horus_temple_14,saved
47,train,Classicismo,https://www.copia-di-arte.com/kunst/jacob_philipp_hackert/soehneferdinandsivbeiweinlese.jpg,jacob_philipp_hackert-untitled_15,saved
48,train,Romanticismo,https://www.copia-di-arte.com/kunst/john_constable/east_bergholt_church_gea34866_hi.jpg,john_constable-east_bergholt_church,saved
49,validation,Classicismo,https://www.copia-di-arte.com/kunst/nicolas_poussin/the_apparition_of_the_virgin_t.jpg,nicolas_poussin-the_apparition_of_the_virgin_the_st_james_th,saved
50,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/pierre_auguste_renoir/akg3fk-r3-v3-c-2_v1.jpg,pierreauguste_renoir-arenoir_moulin_de_la_galette_detail,saved
51,train,Rinascimento,https://www.copia-di-arte.com/kunst/albrecht_duerer/castel_courtyard.jpg,albrecht_duerer-castello_courtyard_innsbruck,saved
52,test,Rinascimento,https://www.copia-di-arte.com/kunst/mathias_mathis_gothart_gruenew/isenheimer_altar_detail_mitte_hi.jpg,mathias_mathis_gothart_grunewaldum-means_isenheimer_altar_de_16,saved
53,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/walter_leistikow/der_grunewaldsee.jpg.jpg,walter_leistikow-lake_grunewald,saved
54,test,Barocco,https://www.copia-di-arte.com/kunst/noartist/r/rubens_christ_on_the_cross.jpg,peter_paul_rubens-rubens_christ_on_the_cross,saved
55,test,Rinascimento,https://www.copia-di-arte.com/kunst/michelangelo_buonarroti//David.jpg,michelangelo_buonarroti-david_17,saved
56,validation,Post-impressionismo,https://www.copia-di-arte.com/kunst/henri_fantin_latour//Still-Life-of-Grapes.jpg,henri_fantinlatour-still_life_of_grapes,saved
57,train,Barocco,https://www.copia-di-arte.com/kunst/bartolome_esteban_murillo/portrait_nicolas_omasur_hi.jpg,bartolome_esteban_perez_murillo-portrait_of_nicolas_omasur,saved
58,train,Romanticismo,https://www.copia-di-arte.com/kunst/john_constable/trees_stretch_water_stour_bro_hi.jpg,john_constable-trees_and_stretch_of_water_on_the_stour_brown,saved
59,test,Romanticismo,https://www.copia-di-arte.com/kunst/heywood_hardy/Couple-Riding-with-Their-Dogs.jpg,heywood_hardy-couple_riding_with_their_dogs,saved
60,validation,Post-impressionismo,https://www.copia-di-arte.com/kunst/henri_fantin_latour/blumen_und_fruechte.jpg,henri_fantinlatour-flowers_and_fruit_19,saved
61,test,Post-impressionismo,https://www.copia-di-arte.com/kunst/pierre_auguste_renoir/kleines_algerisches_maedchen.jpg,pierreauguste_renoir-kleines_algerisches_madchenum,saved
62,train,Espressionismo,https://www.copia-di-arte.com/kunst/ernst_ludwig_kirchner/strasse_mit_roter_kokotte.jpg,ernst_ludwig_kirchner-street_with_red_streetwalker,saved
63,train,Rinascimento,https://www.copia-di-arte.com/kunst/tizian_eigentl_tiziano_vercel//Das-laendliche-Konzert.jpg,tiziano_alias_tiziano_vercellioca-pastoral_symphony_aka_conc,saved
64,train,Romanticismo,https://www.copia-di-arte.com/kunst/caspar_david_friedrich/1003650_v1.jpg,caspar_david_friedrich-east_sea_beach_with_fishing_boats_at_,saved
65,validation,Post-impressionismo,https://www.copia-di-arte.com/kunst/paul_gauguin/Bonjour.jpg,paul_gauguin-bonjour_monsieur_gauguin_oil_on_canvas,saved
66,train,Romanticismo,https://www.copia-di-arte.com/kunst/caspar_david_friedrich/1015929_v1.jpg,caspar_david_friedrich-il_tempio_di_giunone_ad_agrigentoum,saved
67,train,Espressionismo,https://www.copia-di-arte.com/kunst/lovis_corinth/wilhelmine.jpg,lovis_corinth-wilhelmine_with_plaits,saved
68,train,Espressionismo,https://www.copia-di-arte.com/kunst/ernst_ludwig_kirchner/diereiterin.jpg,ernst_ludwig_kirchner-untitled_20,saved
69,train,Espressionismo,https://www.copia-di-arte.com/kunst/paula_modersohn_becker_87/blattpflanze-und-eierbecher.jpg,paula_modersohnbecker-stillleben_mit_blattpflanze_und_eierbe,saved
70,test,Espressionismo,https://www.copia-di-arte.com/kunst/wassily_kandinsky/dunkle_kuehle_hi.jpg,wassily_kandinsky-dark_coolness,saved
71,train,Classicismo,https://www.copia-di-arte.com/kunst/alexander_roslin/portrait_artists_wife_marie_s_hi.jpg,alexander_roslin-portrait_of_the_artists_wife_marie_suzanne,saved
72,train,Barocco,https://www.copia-di-arte.com/kunst/rachel_ruysch/bal160830.jpg,rachel_ruysch-still_life_of_summer_flowers_jh,saved
73,train,Barocco,https://www.copia-di-arte.com/kunst/peter_paul_rubens/xav91404_v1.jpg,peter_paul_rubens-the_martyrdom_of_st_stephen,saved
74,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/henri_de_toulouse_lautrec_736/frau_ihr_korsett_anprobierend.jpg,henri_de_toulouselautrec-woman_adjusting_her_corset,saved
75,train,Barocco,https://www.copia-di-arte.com/kunst/michelangelo_caravaggio/david_mit_dem_ha.jpg,michelangelo_caravaggio-davide_con_la_testa_di_golia_21,saved
76,train,Barocco,https://www.copia-di-arte.com/kunst/claude_lorrain/landscape_magdalene_hi.jpg,claude_lorrain-landscape_with_the_magdalene,saved
77,test,Barocco,https://www.copia-di-arte.com/kunst/rembrandt_hamerszoon_van_rijn/die-drei-kreuze_van-rijn.jpg,rembrandt_van_rijn-three_crucifixes,saved
78,test,Rinascimento,https://www.copia-di-arte.com/kunst/titian_639/portrait_francis_1494_1547_hi.jpg,tiziano_alias_tiziano_vercellioca-portrait_of_francis_i,saved
79,validation,Classicismo,https://www.copia-di-arte.com/kunst/joh_heinrich_wilhelm_tischbein/aufsteigende_nebelnymphe_hi.jpg,joh_heinrich_wilhelm_tischbein-ascending_fog_nymph,saved
80,train,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/philippe_flohic/pointrine-bras-leves.jpg,philippe_flohic-pointrine_bras_leves,saved
81,train,Impressionismo,https://www.copia-di-arte.com/kunst/claude_monet/receding_waves.jpg,claude_monet-receding_waves,saved
82,train,Impressionismo,https://www.copia-di-arte.com/kunst/paul_cezanne/der_ofen_im_atelier.jpg,paul_cezanne-the_stove_in_the_studio_22,saved
83,validation,Classicismo,https://www.copia-di-arte.com/kunst/jacques_louis_david/7933001_v1.jpg,jacques_louis_david-antoine_laurent_de_lavoisier_and_his_wiv,saved
84,validation,Barocco,https://www.copia-di-arte.com/kunst/peter_paul_rubens/bildnis_isabella_brant.jpg,peter_paul_rubens-portrait_of_isabella_brant,saved
85,train,Barocco,https://www.copia-di-arte.com/kunst/noartist/p/pprubens_hlfranziskus_empfjesu.jpg,peter_paul_rubens-pprubens_hlfranziskus_empfjesuskind,saved
86,train,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/lincoln_seligman/young_buddhist_monk_and_gong_b.jpg,lincoln_seligman-young_buddhist_monk_and_gong_bhutan_23,saved
87,validation,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/julian_barrow/Pont-Neuf-Julian-Barrow.jpg,julian_barrow-pont_neuf,saved
88,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/noartist/a/arenoir_die_traenke.jpg,pierreauguste_renoir-arenoir_die_tranke,saved
89,train,Impressionismo,https://www.copia-di-arte.com/kunst/edgar_degas_641/dancer-in-front-of-a-window_degas.jpg,edgar_degas-dancer_in_front_of_a_window_dancer_at_the_photog,saved
90,validation,Post-impressionismo,https://www.copia-di-arte.com/kunst/pierre_bonnard/trouville_der_ausgang_zum_hafen.jpg,pierre_bonnard-trouville_the_exit_to_the_port,saved
91,train,Espressionismo,https://www.copia-di-arte.com/kunst/otto_mueller/Tanzende-Maschka-Otto-Mueller.jpg,otto_mueller-tanzende_maschka,saved
92,train,Classicismo,https://www.copia-di-arte.com/kunst/francois_pascal_simon_gerard/xir104876_v1.jpg,francois_pascal_simon_gerard-portrait_of_jerome_bonaparte_ki,saved
93,test,Espressionismo,https://www.copia-di-arte.com/kunst/wassily_kandinsky/eisenbahn-bei-murnau.jpg,wassily_kandinsky-railroad_at_murnau,saved
94,train,Rinascimento,https://www.copia-di-arte.com/kunst/albrecht_duerer//Der-Engel-mit-dem-Schluessel-zum-Abgrunde.jpg,albrecht_duerer-der_engel_mit_dem_schlussel_zum_abgrunde,saved
95,train,Romanticismo,https://www.copia-di-arte.com/kunst/caspar_david_friedrich/selbstportrait.jpg,caspar_david_friedrich-self_portrait_24,saved
96,train,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/timothy_easton_1/1-alhambra-gardens.jpg,timothy_easton-alhambra_gardens,saved
97,validation,Classicismo,https://www.copia-di-arte.com/kunst/johann_heinrich_fuessli/self_portrait_jf107445_hi.jpg,johann_heinrich_fussli-self_portrait,saved
98,train,Romanticismo,https://www.copia-di-arte.com/kunst/joseph_mallord_william_turner//Sturm-ueber-Venedig.jpg,william_turner-tempesta_su_venezia,saved
99,train,Romanticismo,https://www.copia-di-arte.com/kunst/theodore_gericault/study_male_nude_xir227203_hi.jpg,jean_louis_theodore_gericault-study_of_a_male_nude,saved
100,train,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/robert_tyndall/brighton_beach.jpg,robert_tyndall-brighton_beach,saved
101,train,Espressionismo,https://www.copia-di-arte.com/kunst/egon_schiele/liegender_akt_schwarzen_strue_hi.jpg,egon_schiele-lying_act_with_black_stockings,saved
102,train,Barocco,https://www.copia-di-arte.com/kunst/bartolome_esteban_perez_murill/der_heilige_augustinus_in_ekst.jpg,bartolome_esteban_perez_murillo-der_heilige_augustinus_in_ek,saved
103,train,Espressionismo,https://www.copia-di-arte.com/kunst/noartist/p/pernille_kirkeby.jpg,edvard_munch-pernille_kirkeby,saved
104,train,Barocco,https://www.copia-di-arte.com/kunst/noartist/r/rembrandt__self_portrait__1630.jpg,rembrandt_van_rijn-rembrandt_selfportrait_27,saved
105,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/noartist/r/renoir__dormeuse__1909.jpg,pierreauguste_renoir-renoir_dormeuse,saved
106,validation,Rinascimento,https://www.copia-di-arte.com/kunst/raffael_eigntl_rafaello_santi/study_ariadne_parnassus_hi.jpg,raffaello_raffaello_sanzio-study_of_ariadne_for_the_parnassu,saved
107,train,Impressionismo,https://www.copia-di-arte.com/kunst/alfred_sisley_769/stauwehr_loing_kanal_saint_ma_hi.jpg,alfred_sisley-jam_defence_at_the_loing_channel_at_saint_mamm,saved
108,validation,Romanticismo,https://www.copia-di-arte.com/kunst/carl_gustav_carus/bushes-at-pillnitz.jpg,carl_gustav_carus-bushes_at_pillnitz,saved
109,train,Classicismo,https://www.copia-di-arte.com/kunst/francisco_jose_de_goya/waescherinnen_hi.jpg,francisco_jose_de_goya-the_laundry_groovesum,saved
110,train,Espressionismo,https://www.copia-di-arte.com/kunst/lovis_corinth/odysseus_im_kampf_bettler_hi.jpg,lovis_corinth-ulysses_in_the_fight_with_the_beggar,saved
111,train,Barocco,https://www.copia-di-arte.com/kunst/sir_anthonis_van_dyck/jan_van_monfort_hi.jpg,sir_anthonis_van_dyck-jan_van_monfort,saved
112,validation,Barocco,https://www.copia-di-arte.com/kunst/noartist/t/the_small_last_judgement__rube.jpg,peter_paul_rubens-the_small_last_judgement_rubens,saved
113,validation,Impressionismo,https://www.copia-di-arte.com/kunst/berthe_morisot/junges_maedchen_unter_orangenbaeumen_1004380.jpg,berthe_morisot-young_girl_under_orange_trees,saved
114,validation,Classicismo,https://www.copia-di-arte.com/kunst/francois_pascal_simon_gerard_293/portrait_empress_marie_louise_hi.jpg,francois_pascal_simon_gerard-portrait_of_empress_marielouise,saved
115,validation,Espressionismo,https://www.copia-di-arte.com/kunst/otto_mueller/drei_badende_im_wasser.jpg,otto_mueller-drei_badende_im_wasser,saved
116,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/henri_de_toulouse_lautrec_736/miss_loe_fuller.jpg,henri_de_toulouselautrec-miss_loie_fuller,saved
117,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/paul_gauguin//Oranges-et-citrons-avec-vue.jpg,paul_gauguin-oranges_et_citrons_avec_vue,saved
118,train,Romanticismo,https://www.copia-di-arte.com/kunst/oswald_achenbach/with-naples-johanna-books-with-the-palace-of-the-queen.jpg,oswald_achenbach-with_naples_johanna_books_with_the_palace_o,saved
119,validation,Classicismo,https://www.copia-di-arte.com/kunst/francisco_jose_de_goya/ellazarillodetormes.jpg,francisco_jose_de_goya-untitled_28,saved
120,train,Espressionismo,https://www.copia-di-arte.com/kunst/wassily_kandinsky/plakat_ersten_phalanx_ausstel_hi.jpg,wassily_kandinsky-poster_of_the_first_phalanx_exhibition_aft,saved
121,train,Espressionismo,https://www.copia-di-arte.com/kunst/wassily_kandinsky/komposition-e.jpg,wassily_kandinsky-composition_e,saved
122,validation,Espressionismo,https://www.copia-di-arte.com/kunst/wassily_kandinsky/Drei-Klaenge.jpg,wassily_kandinsky-untitled_29,saved
123,validation,Impressionismo,https://www.copia-di-arte.com/kunst/camille_pissarro_59/winterlandschaft_eragny_hi.jpg,camille_pissarro-winter_landscape_of_eragny,saved
124,train,Barocco,https://www.copia-di-arte.com/kunst/rembrandt_hamerszoon_van_rijn/rembrandt_ascension_of_christ.jpg,rembrandt_van_rijn-rembrandt_ascension_of_christ,saved
125,train,Classicismo,https://www.copia-di-arte.com/kunst/jean_auguste_dominique_ingres_30/maennlichertorso.jpg,jean_auguste_dominique_ingres-male_torso_30,saved
126,train,Impressionismo,https://www.copia-di-arte.com/kunst/claude_monet/garden-in-bordighera-impression-of-morning.jpg,claude_monet-garden_in_bordighera_impression_of_morning,saved
127,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/pierre_bonnard/moisson_au_bord_de_la_mer.jpg,pierre_bonnard-moisson_au_bord_de_la_mer,saved
128,train,Espressionismo,https://www.copia-di-arte.com/kunst/edvard_munch_11004/kiefernwald.jpg,edvard_munch-pine_forest,saved
129,validation,Barocco,https://www.copia-di-arte.com/kunst/noartist/r/rembrandt_portraet_eines_junge.jpg,rembrandt_van_rijn-rembrandt_portrat_eines_jungen_mannes,saved
130,validation,Post-impressionismo,https://www.copia-di-arte.com/kunst/paul_gauguin_706/yellow_christ_hi.jpg,paul_gauguin-yellow_christ,saved
131,validation,Espressionismo,https://www.copia-di-arte.com/kunst/egon_schiele/maedchen_in_schwarzem_kleid_mi.jpg,egon_schiele-girl_in_black_dress_with_her_legs_spread,saved
132,validation,Rinascimento,https://www.copia-di-arte.com/kunst/noartist/a/angel_with_the_key_to_the_abys.jpg,albrecht_duerer-angel_with_the_key_to_the_abyss_durer,saved
133,test,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/lincoln_seligman/travel_business_iv.jpg,lincoln_seligman-travel_business_iv,saved
134,train,Rinascimento,https://www.copia-di-arte.com/kunst/theelder_cranachlucas/1-lucretia.jpg,lucas_cranach_il_vecchio-lucretia_after,saved
135,train,Barocco,https://www.copia-di-arte.com/kunst/noartist/w/watteau__mezzetin__c_171819.jpg,jeanantoine_watteau-watteau_mezzetin,saved
136,train,Classicismo,https://www.copia-di-arte.com/kunst/sir_thomas_lawrence_980/philip_yorke_1757_1834_third_hi.jpg,sir_thomas_lawrence-philip_yorke_third_earl_of_hardwicke,saved
137,train,Impressionismo,https://www.copia-di-arte.com/kunst/claude_monet/winter_in_giverny.jpg,claude_monet-winter_in_giverny,saved
138,train,Barocco,https://www.copia-di-arte.com/kunst/diego_rodriguez_de_silva_y_vel/don_sebastian.jpg,diego_rodriguez_de_silva_y_velazquez-don_sebastian_de_morra,saved
139,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/paul_gauguin/portraet_von_vaiite_jeanne_gou.jpg,paul_gauguin-portrait_of_vaiite_jeanne_goupil,saved
140,train,Impressionismo,https://www.copia-di-arte.com/kunst/edgar_degas_641/combing_hair_qed28981_hi.jpg,edgar_degas-combing_the_hair_31,saved
141,train,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/lincoln_seligman/london-new-york-crash.jpg,lincoln_seligman-london_new_york_crash,saved
142,train,Impressionismo,https://www.copia-di-arte.com/kunst/max_liebermann/an-der-alster-in-hamburg.jpg,max_liebermann-on_the_alster_in_hamburg,saved
143,train,Romanticismo,https://www.copia-di-arte.com/kunst/carl_gustav_carus/1-fruehlingslandschaft-im-rosenthal.jpg,carl_gustav_carus-paesaggio_primaverile,saved
144,train,Rinascimento,https://www.copia-di-arte.com/kunst/theelder_cranachlucas/the_suicide_of_lucretia_1538_d.jpg,lucas_cranach_il_vecchio-the_suicide_of_lucretia_detail_of,saved
145,train,Espressionismo,https://www.copia-di-arte.com/kunst/wassily_kandinsky/bauernhaeuser.jpg,wassily_kandinsky-farmhouses_in_front_of_orum,saved
146,train,Classicismo,https://www.copia-di-arte.com/kunst/johann_heinrich_fuessli/Die-Vision-der-Katharina-von-Aragon.jpg,johann_heinrich_fussli-untitled_32,saved
147,train,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/goetz//SI.NN..jpg,goetz_valien-sinn,saved
148,train,Impressionismo,https://www.copia-di-arte.com/kunst/gustave_caillebotte/portraeteinesmannes.jpg,gustave_caillebotte-untitled_33,saved
149,test,Espressionismo,https://www.copia-di-arte.com/kunst/lovis_corinth/wilhelmine_gelbem_hut_hi.jpg,lovis_corinth-wilhelmine_with_a_yellow_hat,saved
150,test,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/lincoln_seligman/berkley-house-murals---3.jpg,lincoln_seligman-berkley_house_murals,saved
151,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/frits_thaulow/hafen_dieppe_hi.jpg,frits_thaulow-at_the_port_of_dieppe,saved
152,train,Classicismo,https://www.copia-di-arte.com/kunst/francisco_jose_de_goya/karl.jpg,francisco_jose_de_goya-untitled_35,saved
153,train,Espressionismo,https://www.copia-di-arte.com/kunst/alexej_von_jawlensky/variation_dmmerung.jpg,alexej_von_jawlensky-variation_dammerung,saved
154,train,Post-impressionismo,https://www.copia-di-arte.com/kunst/paul_gauguin/drei_tahitianerinnen_auf_gelbe.jpg,paul_gauguin-three_tahitian_women_against_a_yellow_backgroun,saved
155,train,Classicismo,https://www.copia-di-arte.com/kunst/pierre_joseph_redoute/rose.jpg,pierre_joseph_redoute-rose_langlois_after_redoute,saved
156,validation,Barocco,https://www.copia-di-arte.com/kunst/jean_baptiste_oudry/7265001.jpg,jean_baptiste_oudry-leopard,saved
157,train,Romanticismo,https://www.copia-di-arte.com/kunst/heywood_hardy/the_meet_-1.jpg,heywood_hardy-lincontro_36,saved
158,train,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/ingeborg_kuhn/138_v1.jpg,ingeborg_kuhn-poppy_with_buds,saved
159,train,Barocco,https://www.copia-di-arte.com/kunst/rembrandt_hamerszoon_van_rijn/selbstbildnis_juengling_hi.jpg,rembrandt_van_rijn-selfportrait_as_a_juvenile_drittel,saved
160,train,Romanticismo,https://www.copia-di-arte.com/kunst/iwan_kramskoi/portraet_von_maler_konstantin.jpg,iwan_nikolajewitsch_kramskoi-portrait_of_the_artist_konstant,saved
161,train,Rinascimento,https://www.copia-di-arte.com/kunst/albrecht_altdorfer/landschaft_satyrfamilie_hi.jpg,albrecht_altdorferum-countryside_with_satyrfamilie,saved
162,train,Romanticismo,https://www.copia-di-arte.com/kunst/jean_babtiste_camille_corot/le-petit-charville.jpg,jeanbabtistecamille_corot-landscape_le_petit_charville_near_,saved
163,train,Impressionismo,https://www.copia-di-arte.com/kunst/john_singer_sargent_2815/gathering-flowers-at-twilight.jpg,john_singer_sargent-gathering_flowers_at_twilight,saved
164,train,Impressionismo,https://www.copia-di-arte.com/kunst/claude_monet/chr-mdp09050101901.jpg,claude_monet-ninfee_38,saved
165,validation,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/knowles_james/1-celebration-of-procreation.jpg,james_knowles-celebration_of_procreation,saved
166,validation,Arte concreta figurativa,https://www.copia-di-arte.com/kunst/robert_tyndall/mexican_children_making_decora.jpg,robert_tyndall-mexican_children_making_decorations_for_palm_,saved
