,image_link,artists,art_movement,title
14,https://www.copia-di-arte.com/a/leighton-frederic/desdemona.html,Frederic Leighton(1830  - 1896),Arte Vittoriana,Desdemona
15,https://www.copia-di-arte.com/a/lovis-corinth/buntewickenundrosen.html,Lovis Corinth(1858  - 1925),Espressionismo,Bunte Wicken und Rosen(1913)
16,https://www.copia-di-arte.com/a/henri-de-toulouse-lautrec-1/la-clownesse-cha-u-ka-o-i.html,Henri de Toulouse-Lautrec(1864  - 1901),Post-impressionismo,The clownesse Cha-u-kao at the Moulin Rouge(1895)
17,https://www.copia-di-arte.com/a/willis-2/motherlove2003oilonboard.html,Tilly  Willis,Arte astratta figurativa,"Mother Love, 2003 (oil on board) "
18,https://www.copia-di-arte.com/a/pierre-auguste-renoir/the-dance-in-the-country.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,The Dance in the Country(1883)
19,https://www.copia-di-arte.com/a/eugene-delacroix/diejugendzeitderjungfraumaria.html,Ferdinand Victor Eugène Delacroix(1798  - 1863),Romanticismo,The Education of the Virgin(1852)
20,https://www.copia-di-arte.com/a/pierre-auguste-renoir/la-casa-delle-Collettes-a-cagnes.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,La casa delle Collettes a Cagnes.
21,https://www.copia-di-arte.com/a/roberts-david/cordova.html,David Roberts(1796  - 1864),Romanticismo,Cordova
22,https://www.copia-di-arte.com/a/paul-cezanne/bathers.html,Paul Cézanne(1839  - 1906),Impressionismo,Bathers(c.1892-94)
23,https://www.copia-di-arte.com/a/scuola-inglese/aviewofthetownandcastleof.html, Scuola Inglese(18th century ),Arte Vittoriana,"A view of the town and castle of Macao, c.1708"
24,https://www.copia-di-arte.com/a/david-teniers/erzherzogleopoldwilhelminseinergalerieinbrssel-1.html,David Teniers(1610  - 1690),Barocco,Archduke Leopold Wilhelm in his Gallery in Brussels
25,https://www.copia-di-arte.com/a/camille-pissarro/deikrutersammlerinpontois.html,Camille Pissarro(1830  - 1903),Impressionismo,"Dei Kräutersammlerin, Pontoise(1882)"
26,https://www.copia-di-arte.com/a/zwengauer-anton/pre-alpine-country-shaft.html,Anton Zwengauer(1810  - 1884),Romanticismo,Pre-alpine country shaft at Pähl
27,https://www.copia-di-arte.com/a/travers/floralrainbow.html,Michael Travers,Arte Figurativa astratta,floral rainbow
28,https://www.copia-di-arte.com/a/francisco-jose-de-goya-1/lazarillo-de-tormes.html,Francisco Jose de Goya(1746  - 1828),Classicismo,Lazarillo de Tormes(1819)
29,https://www.copia-di-arte.com/a/charles-le-brun/versailleshallsofmirrorsp-1.html,Charles Le Brun(1619  - 1690),Barocco,Versailles/ Halls of Mirrors/ Photo 2007
30,https://www.copia-di-arte.com/a/lawrence-sir-thomas/miss-murray.html,Sir Thomas Lawrence(1769  - 1830),Classicismo,Miss Murray
31,https://www.copia-di-arte.com/a/olbrich-kora/ying-and-yang.html,Kora Olbrich,Arte concreta figurativa,Ying and Yang
32,https://www.copia-di-arte.com/a/fuessli-johann-heinrich/amorundpsyche.html,Johann Heinrich Füssli(1741  - 1825),Classicismo,Amor and Psyche
33,https://www.copia-di-arte.com/a/nicolas-poussin/diefirmung.html,Nicolas Poussin(1594  - 1665),Classicismo,Die Firmung(1640-41)
34,https://www.copia-di-arte.com/a/dante-gabriel-rossetti/ellen-smith.html,Dante Gabriel Rossetti(1828  - 1882),Arte Vittoriana,Ellen Smith
35,https://www.copia-di-arte.com/a/paul-cezanne/fortune-marion-black-head.html,Paul Cézanne(1839  - 1906),Impressionismo,Fortuné Marion (black head)
36,https://www.copia-di-arte.com/a/camille-pissarro/cpissarrolandsapewpeasant.html,Camille Pissarro(1830  - 1903),Impressionismo,C.Pissarro /Landsape w.Peasant Ploughing
37,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/liebesszene.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,
38,https://www.copia-di-arte.com/a/pierre-auguste-renoir/p-arenoirlandschaftammitt.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,"P.-A.Renoir, Landschaft am Mittelmeer"
39,https://www.copia-di-arte.com/a/william-turner/view-of-venice-from-la-gi.html,William Turner(1775  - 1851),Romanticismo,View of Venice from La Giudecca
40,https://www.copia-di-arte.com/a/eugene-boudin/beachsceneoiloncanvas.html,Eugène Boudin(1824  - 1898),Impressionismo,Beach Scene (oil on canvas)
41,https://www.copia-di-arte.com/a/david-teniers/interior-of-a-peasant-dwe.html,David Teniers(1610  - 1690),Barocco,Interior of a Peasant Dwelling
42,https://www.copia-di-arte.com/a/chardin-jean-baptiste/diewscherin-1.html,Jean-Baptiste Siméon Chardin(1699  - 1779),Romanticismo,The Laundress
43,https://www.copia-di-arte.com/a/edvard-munch/schneeschmelzebeielgersbu.html,Edvard Munch(1863  - 1944),Espressionismo,Snowmelt near Elgersburg(1906)
44,https://www.copia-di-arte.com/a/wassily-kandinsky/muenchen-7.html,Wassily Kandinsky(16. Dezember 1866  - 13. Dezember 1944),Espressionismo,(Um 1901-02)
45,https://www.copia-di-arte.com/a/pierre-joseph-redoute/didierstulipredout-2.html,Pierre Joseph Redouté(1759  - 1840),Classicismo,Didier s tulip / Redouté
46,https://www.copia-di-arte.com/a/paul-gauguin/vairumati-2.html,Paul Gauguin(1848  - 1903),Post-impressionismo,
47,https://www.copia-di-arte.com/a/feuerbach-anselm/bianca-capello.html,Anselm Feuerbach(1829  - 1880),Classicismo,Bianca Capello(1864/68)
48,https://www.copia-di-arte.com/a/raffaello-sanzio-urbino/portrait-of-the-agnolo-do.html,(Raffaello) Raffaello Sanzio(1483  - 1520),Rinascimento,Portrait of the Agnolo Doni(um 1506)
49,https://www.copia-di-arte.com/a/cranach-il-vecchio/hallow-maria-magdalena.html,Lucas Cranach il Vecchio(1472  - 1553),Rinascimento,Hallow Maria Magdalena.
50,https://www.copia-di-arte.com/a/claude-lorrain/the-walk-to-emmaus-2.html,Claude Lorrain(1600  - 1682),Barocco,The walk to Emmaus.
51,https://www.copia-di-arte.com/a/michelangelo-caravaggio/dierosenkranzmadonna.html,Michelangelo Caravaggio(1573  - 1610),Barocco,Madonna of the Rosary
52,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/blauesmdcheninsonne.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,
53,https://www.copia-di-arte.com/a/max-liebermann/dieblumenterrasseimwannse.html,Max Liebermann(1847  - 1935),Impressionismo,La terrazza fiorita nel Wannsee-Garten(1921)
54,https://www.copia-di-arte.com/a/albrecht-durer/innsbruckvonnorden.html,Albrecht Duerer(1471  - 1528),Rinascimento,Innsbruck from North
55,https://www.copia-di-arte.com/a/powis-paul/orangepicking.html,Paul Powis,Arte astratta figurativa,Orange picking
56,https://www.copia-di-arte.com/a/gerard-francois-pascal/daphnis-and-chloe.html,François Pascal Simon Gérard(1770  - 1837),Classicismo,Daphnis and Chloe(1824-25)
57,https://www.copia-di-arte.com/a/paul-cezanne/buchtvonmarseille-1.html,Paul Cézanne(1839  - 1906),Impressionismo,Bay of Marseille
58,https://www.copia-di-arte.com/a/albrecht-altdorfer/passionsebastians-altar-i-8.html,Albrecht Altdorfer(um 1480  - 1538),Rinascimento,Passion/Sebastians altar in St. Florian the hll.Margaretha and Barbara
59,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/brown-act-at-the-window.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,Brown act at the window(1912)
60,https://www.copia-di-arte.com/a/franz-marc/aktbildaufzinnober.html,Franz Marc(1880  - 1916),Espressionismo,Aktbild auf Zinnober(1910)
61,https://www.copia-di-arte.com/a/egon-schiele/girasoli-ll.html,Egon Schiele(1890  - 1918),Espressionismo,Girasoli ll(1911)
62,https://www.copia-di-arte.com/a/scuola-inglese/kingcharlesii1630-85witht.html, Scuola Inglese(18th century ),Arte Vittoriana,King Charles II (1630-85) with the Houses of Parliament
63,https://www.copia-di-arte.com/a/cranach-il-vecchio/altar-with-a-triptych-dep.html,Lucas Cranach il Vecchio(1472  - 1553),Rinascimento,"Altar with a Triptych depicting: left panel, Philipp Melanchthon (1497-1560) performing a baptism as"
64,https://www.copia-di-arte.com/a/claude-monet/donna-parasole-figlio.html,Claude Monet(1840  - 1926),Impressionismo,"Donna con Parasole, La signora Monet con suo figlio(1875/78)"
65,https://www.copia-di-arte.com/a/quaglio-domenico/view-of-frankfurt-am-main.html,Domenico Quaglio(1787  - 1837),Romanticismo,View of Frankfurt am Main from the west(1831)
66,https://www.copia-di-arte.com/a/scuola-inglese/danielburgessillustration.html, Scuola Inglese(18th century ),Arte Vittoriana,"Daniel Burgess, illustration from ''Portraits, Memoirs and Characters, of remarkable persons'' James"
67,https://www.copia-di-arte.com/a/pierre-joseph-redoute/rosareclinatafloresubmuti.html,Pierre Joseph Redouté(1759  - 1840),Classicismo,Rosa reclinata flore sub mutiplici
68,https://www.copia-di-arte.com/a/abel/seatedcubistnude.html,Catherine  Abel(b.1966  ),Arte Figurativa astratta,Seated Cubist Nude
69,https://www.copia-di-arte.com/a/william-blake/illzumarriageofheavenandh.html,William Blake(1757  - 1827),Arte Vittoriana,The Marriage of Heaven and Hell
70,https://www.copia-di-arte.com/a/camille-pissarro/ferry-at-varenne-saint-hi.html,Camille Pissarro(1830  - 1903),Impressionismo,Ferry at Varenne-Saint-Hilaire(1864)
71,https://www.copia-di-arte.com/a/elsner/claudiaelsner-habedieaehr.html,Claudia Elsner,Arte Figurativa astratta,Habe die Aehre(2008)
72,https://www.copia-di-arte.com/a/modersohn-becker-paula-1/stillebenporzhund.html,Paula Modersohn-Becker(1876  - 1907),Espressionismo,Porcelain Dog & Plant
73,https://www.copia-di-arte.com/a/fuessli-johann-heinrich/the-newspaper-in-the-coun.html,Johann Heinrich Füssli(1741  - 1825),Classicismo,The newspaper in the country(1806/1807)
74,https://www.copia-di-arte.com/a/jean-auguste-ingres/portrtvonmadameccilepanckouckegebbochet.html,Jean Auguste Dominique Ingres(1780  - 1867),Classicismo,"Portrait of Madame Cécile Panckoucke, née Bochet(1811)"
75,https://www.copia-di-arte.com/a/lovis-corinth/portrait-of-otto-eckmann.html,Lovis Corinth(1858  - 1925),Espressionismo,Portrait of Otto Eckmann (1865-1902)
76,https://www.copia-di-arte.com/a/seligman/shipbreakersoiloncanvas.html,Lincoln  Seligman,Arte concreta figurativa,Ship Breakers (oil on canvas) 
77,https://www.copia-di-arte.com/a/jean-babtiste-corot/glockenturminargenteuilwegzurkirche.html,Jean-Babtiste-Camille Corot(1796  - 1875),Romanticismo,Bell tower in Argenteuil (Road to the Church)
78,https://www.copia-di-arte.com/a/edvard-munch/thelonelyones.html,Edvard Munch(1863  - 1944),Espressionismo,The Lonely Ones(1899)
79,https://www.copia-di-arte.com/a/jean-auguste-ingres/antiochus-and-stratonice-1.html,Jean Auguste Dominique Ingres(1780  - 1867),Classicismo,Antiochus and Stratonice(1840)
80,https://www.copia-di-arte.com/a/easton/anemonesandablueglassvase.html,Timothy  Easton,Arte concreta figurativa,"Anemones and a Blue Glass Vase, 1994 (oil on canvas) "
81,https://www.copia-di-arte.com/a/pierre-auguste-renoir/nympheambach.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,A Nymph by a Stream
82,https://www.copia-di-arte.com/a/feuerbach-anselm/imfrhling-1.html,Anselm Feuerbach(1829  - 1880),Classicismo,In the Spring
83,https://www.copia-di-arte.com/a/ireland-3/palmroom.html,William  Ireland,Arte concreta figurativa,Palm Room
84,https://www.copia-di-arte.com/a/henri-de-toulouse-lautrec-1/reproductionofaposteradve-68.html,Henri de Toulouse-Lautrec(1864  - 1901),Post-impressionismo,Reproduction of a poster advertising 'Jane Avril' at the Jardin de Paris(1893)
85,https://www.copia-di-arte.com/a/eugene-boudin/venedigblickaufsanmarcoun.html,Eugène Boudin(1824  - 1898),Impressionismo,"Venedig, Blick auf San Marco und den Campanile(Juni 1895)"
86,https://www.copia-di-arte.com/a/wassily-kandinsky/13rechtecke.html,Wassily Kandinsky(16. Dezember 1866  - 13. Dezember 1944),Espressionismo,13 Rectangles(1930)
87,https://www.copia-di-arte.com/a/william-turner/self-portrait-299.html,William Turner(1775  - 1851),Romanticismo,Self portrait(1798)
88,https://www.copia-di-arte.com/a/paul-cezanne/portrait-of-paul-cezanne.html,Paul Cézanne(1839  - 1906),Impressionismo,"Portrait of Paul Cezanne, the artist's son(1883-85)"
89,https://www.copia-di-arte.com/a/ende-oliver/geheimagenten.html,Oliver Ende(1977 ),Arte Figurativa astratta,Geheimagenten(2006)
90,https://www.copia-di-arte.com/a/easton/longautumnshadows.html,Timothy  Easton,Arte concreta figurativa,Long Autumn Shadows
91,https://www.copia-di-arte.com/a/edvard-munch/landschaftbeinizza.html,Edvard Munch(1863  - 1944),Espressionismo,Landscape near Nice(1892)
92,https://www.copia-di-arte.com/a/alexej-von-jawlensky/strasseundhuser.html,Alexej von Jawlensky(1864  - 1941),Espressionismo,Strasse und Häuser(1905)
93,https://www.copia-di-arte.com/a/dante-gabriel-rossetti/the-roman-widow.html,Dante Gabriel Rossetti(1828  - 1882),Arte Vittoriana,The Roman Widow(1874)
94,https://www.copia-di-arte.com/a/giovanni-domenico-tiepolo/gdtiepolo___pulcinella_cl.html,Giovanni Domenico Tiepolo(1727  - 1804),Classicismo,G.D.Tiepolo / Pulcinella Clowns / c.1793
95,https://www.copia-di-arte.com/a/jean-babtiste-corot/colosseumfromfarnesiangar.html,Jean-Babtiste-Camille Corot(1796  - 1875),Romanticismo,Colosseum from Farnesian Gardens / 1826
96,https://www.copia-di-arte.com/a/knowles-james/bluebells_knowles_james.html,James Knowles(1958 ),Arte concreta figurativa,bluebells(2000)
97,https://www.copia-di-arte.com/a/flohic-philippe/nu-29.html,Philippe Flohic(1966 ),Arte concreta figurativa,Nu 29
98,https://www.copia-di-arte.com/a/sir-anthonis-van-dyck/the-lamentation-panel.html,Sir Anthonis van Dyck(1599  - 1641),Barocco,The Lamentation (panel)
99,https://www.copia-di-arte.com/a/vittore-carpaccio/glorificationofstursulaan.html,Vittore Carpaccio(um 1450  - 1525),Rinascimento,Glorification of St. Ursula and her Companions(19th)
100,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/negro-dancer.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,Negro dancer(1905)
101,https://www.copia-di-arte.com/a/rembrandt-van-rijn/christ-in-the-house-of-ma-6.html,Rembrandt van Rijn(1606  - 1669),Barocco,Christ in the House of Martha and Mary
102,https://www.copia-di-arte.com/a/scuola-inglese/mapoflaputabalnibariluggn.html, Scuola Inglese(18th century ),Arte Vittoriana,"Map of Laputa, Balnibari, Luggnagg, Glubbdubdrib and Japan, illustration from the first edition of '"
103,https://www.copia-di-arte.com/a/cranach-il-vecchio/bildnisvonmarkgrafalbrechtvonbrandenburg-anspach.html,Lucas Cranach il Vecchio(1472  - 1553),Rinascimento,"Portrait of Margrave Abrecht of Brandenburg-Ansbach, Duke of Prussia(1528)"
104,https://www.copia-di-arte.com/a/leonardo-da-vinci/christdererlsersalvatormundi-2.html,Leonardo da Vinci(1452  - 1519),Rinascimento,Christ as Salvator Mundi
105,https://www.copia-di-arte.com/a/albrecht-durer/derreitendetod.html,Albrecht Duerer(1471  - 1528),Rinascimento,Der reitende Tod(1502)
106,https://www.copia-di-arte.com/a/armitage-1/liliumwhitechampionandhea.html,Karen  Armitage,Arte concreta figurativa,"Lilium, White Champion and Heart''s Desire "
107,https://www.copia-di-arte.com/a/bonnard-pierre/la_revue_blanche-1.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,La Revue Blanche(1894)
108,https://www.copia-di-arte.com/a/max-liebermann/sinfoniekonzertinderstaat.html,Max Liebermann(1847  - 1935),Impressionismo,"Sinfoniekonzert in der Staatsoper, Unter den Linden, Berlin(1923)"
109,https://www.copia-di-arte.com/a/pierre-auguste-renoir/afterthebathc1900.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,"After the Bath, c.1900"
110,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/weiblicheraktlesend.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,Weiblicher Akt (Lesend)(1909)
111,https://www.copia-di-arte.com/a/claude-monet/diefelsenvonpourville.html,Claude Monet(1840  - 1926),Impressionismo,On the cliff at Pourville(1882)
112,https://www.copia-di-arte.com/a/giovanni-paolo-pannini/galleria-con-vista.html,Giovanni Paolo Pannini(1691/92  - 1765),Barocco,Galleria con vista della Roma moderna(1759)
113,https://www.copia-di-arte.com/a/ury-lesser/frauamkchenherd.html,Lesser Ury(1861  - 1931),Espressionismo,Frau am Küchenherd(1882)
114,https://www.copia-di-arte.com/a/lawrence-sir-thomas/portrait-of-sarah-siddons.html,Sir Thomas Lawrence(1769  - 1830),Classicismo,Portrait of Sarah Siddons (1755-1831)
115,https://www.copia-di-arte.com/a/pierre-auguste-renoir/young-girl-seated.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,Young Girl Seated(1885)
116,https://www.copia-di-arte.com/a/ernst-ludwig-kirchner/straenbahnindresden.html,Ernst Ludwig Kirchner(1880  - 1938),Espressionismo,
117,https://www.copia-di-arte.com/a/watteau-jean-antoine/actor-of-the-french-comed.html,Jean-Antoine Watteau(1684  - 1721),Barocco,Actor of the French comedy(um 1712)
118,https://www.copia-di-arte.com/a/edgar-degas/diego-martelli.html,Edgar Degas(1834  - 1917),Impressionismo,Diego Martelli(1879)
119,https://www.copia-di-arte.com/a/tiziano-vercellio/madonnaandchildwithssstep.html, Tiziano (alias Tiziano Vercellio)(ca. 1488  - 1576),Rinascimento,"Madonna and Child with SS. Stephen, Jerome and Maurice (detail of 108505)"
120,https://www.copia-di-arte.com/a/sir-lawrence-alma-tadema/duroseunterrosen.html,Sir Lawrence Alma-Tadema(1836  - 1912),Arte Vittoriana,Thou Rose of all the Roses
121,https://www.copia-di-arte.com/a/giovanni-domenico-tiepolo/gdtiepolo___pulcinella__s.html,Giovanni Domenico Tiepolo(1727  - 1804),Classicismo,G.D.Tiepolo / Pulcinella''s Swing / 1793
122,https://www.copia-di-arte.com/a/johnson-edward-killingswo/a-meeting-with-the-archit.html,Edward Killingsworth Johnson(1825  - 1896),Romanticismo,A Meeting with the Architect(1866  on)
123,https://www.copia-di-arte.com/a/lewis-charles-james/picking-waterlilies-board.html,Charles James Lewis(1830  - 1892),Romanticismo,Picking Waterlilies (board)
124,https://www.copia-di-arte.com/a/paul-gauguin/4053262429900.html,Paul Gauguin(1848  - 1903),Post-impressionismo,Self-portrait
125,https://www.copia-di-arte.com/a/pierre-auguste-renoir/south-french-landscape.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,South French landscape.(um 1890)
126,https://www.copia-di-arte.com/a/edgar-degas/lespointesc1877-78.html,Edgar Degas(1834  - 1917),Impressionismo,"Les Pointes, c.1877-78"
127,https://www.copia-di-arte.com/a/francisco-jose-de-goya-1/branddestheatersinsaragos.html,Francisco Jose de Goya(1746  - 1828),Classicismo,Fire at the Theatre in Saragossa
128,https://www.copia-di-arte.com/a/bartolome-esteban-murillo/johannesdertuferalskind.html,Bartolomé Esteban Perez Murillo(1618  - 1682),Barocco,Johannes der Täufer als Kind(Um 1650/55)
129,https://www.copia-di-arte.com/a/armitage-1/springtulips-1.html,Karen  Armitage,Arte concreta figurativa,Spring tulips 
130,https://www.copia-di-arte.com/a/paul-gauguin/still-life-with-the-profi.html,Paul Gauguin(1848  - 1903),Post-impressionismo,Still life with the profile of Charles Laval(1886)
131,https://www.copia-di-arte.com/a/tyndall/thetracktoboleynsfarmkent.html,Robert  Tyndall,Arte concreta figurativa,"The Track to Boleyn''s Farm, Kent "
132,https://www.copia-di-arte.com/a/franz-marc/bog-huts-in-the-dachauer.html,Franz Marc(1880  - 1916),Espressionismo,Bog huts in the Dachauer moss.(1902)
133,https://www.copia-di-arte.com/a/watteau-jean-antoine/awatteauzweigrimassierend.html,Jean-Antoine Watteau(1684  - 1721),Barocco,"A.Watteau, Zwei grimassierende Alte"
134,https://www.copia-di-arte.com/a/claude-monet/blickaufdieprinshendrikkadeunddiekrommewaalinamste.html,Claude Monet(1840  - 1926),Impressionismo,View of the Prins Hendrikkade and the Kromme Waal in Amsterdam(1874)
135,https://www.copia-di-arte.com/a/albrecht-durer/vierengeldiewindeaufhalte.html,Albrecht Duerer(1471  - 1528),Rinascimento,"Vier Engel, die Winde aufhaltend(Um 1497/98)"
136,https://www.copia-di-arte.com/a/william-blake/platonsgeistausjohnmiltonslallegroundilpenseroso.html,William Blake(1757  - 1827),Arte Vittoriana,The Spirit of Plato (from John Milton's L'Allegro and Il Penseroso)
137,https://www.copia-di-arte.com/a/jean-auguste-ingres/oedipusandthesphinx1808de.html,Jean Auguste Dominique Ingres(1780  - 1867),Classicismo,"Oedipus and the Sphinx, 1808 (detail of 267669)"
138,https://www.copia-di-arte.com/a/claude-monet/waterlily-pond-the-bridge.html,Claude Monet(1840  - 1926),Impressionismo,Waterlily Pond: The Bridge
139,https://www.copia-di-arte.com/a/eugene-delacroix/seatednudemademoiselleros.html,Ferdinand Victor Eugène Delacroix(1798  - 1863),Romanticismo,"Seated Nude, Mademoiselle Rose"
140,https://www.copia-di-arte.com/a/edouard-manet/olympia-detail-of-the-bla.html,Edouard Manet(1832  - 1883),Impressionismo,"Olympia, detail of the black servant(1863)"
141,https://www.copia-di-arte.com/a/edouard-manet/stilllifewithbriochesandl.html,Edouard Manet(1832  - 1883),Impressionismo,Still life with brioches and lemon
142,https://www.copia-di-arte.com/a/bonnard-pierre/nude_vor_einem_spieg-1.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,Nude before a Mirror(1934)
143,https://www.copia-di-arte.com/a/dean-1/onesecondone2006wconhandm.html,Graham  Dean,Arte astratta figurativa,"One Second One, 2006 (w/c on handmade Indian paper) "
144,https://www.copia-di-arte.com/a/pierre-auguste-renoir/reclining-bather.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,Reclining bather
145,https://www.copia-di-arte.com/a/vincent-van-gogh/the-young-blacksmith.html,Vincent van Gogh(1853  - 1890),Impressionismo,The Young Blacksmith(1882)
146,https://www.copia-di-arte.com/a/august-macke/elisabethmacke.html,August Macke(1887  - 1914),Espressionismo,Elisabeth Macke
147,https://www.copia-di-arte.com/a/gerard-francois-pascal/marie-caroline-de-bourbon-1.html,François Pascal Simon Gérard(1770  - 1837),Classicismo,Marie-Caroline de Bourbon (1798-1870) with her Children in Front of the Chateau de Rosny(1820 ( 9:L)
148,https://www.copia-di-arte.com/a/wassily-kandinsky/derblauereiter.html,Wassily Kandinsky(16. Dezember 1866  - 13. Dezember 1944),Espressionismo,The blue Rider(1903)
149,https://www.copia-di-arte.com/a/jordaens-jacob/study-of-an-old-woman-hol.html,Jacob Jordaens(1593  - 1678),Barocco,"Study of an Old Woman, holding a Candle"
150,https://www.copia-di-arte.com/a/cranach-il-vecchio/derhlchristopherus.html,Lucas Cranach il Vecchio(1472  - 1553),Rinascimento,Der hl.Christopherus(1506-09)
151,https://www.copia-di-arte.com/a/claude-monet/girasoli.html,Claude Monet(1840  - 1926),Impressionismo,Girasoli(1880)
152,https://www.copia-di-arte.com/a/camille-pissarro/einbedecktertagineragny.html,Camille Pissarro(1830  - 1903),Impressionismo,Ein bedeckter tag in Eragny(1896)
153,https://www.copia-di-arte.com/a/tiziano-vercellio/danae-15.html, Tiziano (alias Tiziano Vercellio)(ca. 1488  - 1576),Rinascimento,Danae
154,https://www.copia-di-arte.com/a/pierre-auguste-renoir/jungefraumitschleier.html,Pierre-Auguste Renoir(1841  - 1919),Post-impressionismo,Junge Frau mit Schleier(Um 1875)
155,https://www.copia-di-arte.com/a/bonnard-pierre/derriere_la_grille.html,Pierre Bonnard(1867  - 1947),Post-impressionismo,Derriere la grille(1895)
156,https://www.copia-di-arte.com/a/claude-monet/waterlilies-at-midday.html,Claude Monet(1840  - 1926),Impressionismo,Waterlilies at Midday(1918)
157,https://www.copia-di-arte.com/a/alfred-sisley-1/dorfstrasseinmarlotte.html,Alfred Sisley(1839  - 1899),Impressionismo,Women Going to the Woods(1866)
158,https://www.copia-di-arte.com/a/caspar-david-friedrich/quercia-nella-neve.html,Caspar David Friedrich(1774  - 1840),Romanticismo,Quercia nella neve
159,https://www.copia-di-arte.com/a/caspar-david-friedrich/nebelimelbtal.html,Caspar David Friedrich(1774  - 1840),Romanticismo,
160,https://www.copia-di-arte.com/a/franz-marc/reeds-closed.html,Franz Marc(1880  - 1916),Espressionismo,Reeds closed.(1914)
161,https://www.copia-di-arte.com/a/michelangelo-buonarroti/san-bartolomeo.html,Michelangelo Buonarroti(1475  - 1564),Rinascimento,San Bartolomeo che mostra la sua propria pelle ( dettaglio della Cappella Sistina)(1538-41)
162,https://www.copia-di-arte.com/a/william-blake/illuzuamericaaprophecy.html,William Blake(1757  - 1827),Arte Vittoriana,Illustration American Prophecy
163,https://www.copia-di-arte.com/a/scuola-inglese/captainaverycapturingtheg.html, Scuola Inglese(18th century ),Arte Vittoriana,Captain Avery capturing the ''Ganj-i-Sawai'' on 8th September 1695
164,https://www.copia-di-arte.com/a/bode-gabriele-diana/angel-of-the-tolerance.html,Gabriele-Diana Bode(1947 ),Arte concreta figurativa,Angel of the tolerance(1999)
